province_norm,year,votes,province_votes,province_pop,population,votes_per100k
teruel,2023,9932,Teruel,Teruel,135046.0,7354.531048679709
toledo,2000,221,Toledo,,,
toledo,2004,353,Toledo,Toledo,574502.0,61.444520645707065
toledo,2008,208,Toledo,Toledo,665283.0,31.264890279775674
toledo,2011,0,Toledo,Toledo,701011.0,0.0
toledo,2016,0,Toledo,Toledo,691787.0,0.0
toledo,2019,12887,Toledo,Toledo,696390.0,1850.5435172819828
toledo,2023,13652,Toledo,Toledo,731112.0,1867.2925625622338
valencia,2000,698,Valencia,,,
valencia,2004,915,Valencia,Valencia,2321592.0,39.412609967642894
valencia,2008,1044,Valencia,Valencia,2522559.0,41.38654437814933
valencia,2011,0,Valencia,Valencia,2559199.0,0.0
valencia,2016,1026,Valencia,Valencia,2526469.0,40.6100371704541
valencia,2019,38187,Valencia,Valencia,2554332.0,1494.9896881063228
valencia,2023,34410,Valencia,Valencia,2656841.0,1295.147131499401
valladolid,2000,239,Valladolid,,,
valladolid,2004,653,Valladolid,Valladolid,506393.0,128.95122957860792
valladolid,2008,681,Valladolid,Valladolid,525651.0,129.55363920167565
valladolid,2011,0,Valladolid,Valladolid,531881.0,0.0
valladolid,2016,620,Valladolid,Valladolid,524669.0,118.16974130356472
valladolid,2019,33653,Valladolid,Valladolid,520483.0,6465.725105334852
valladolid,2023,35451,Valladolid,Valladolid,521333.0,6800.068286488674
zamora,2000,242,Zamora,,,
zamora,2004,364,Zamora,Zamora,196853.0,184.9095517975342
zamora,2008,253,Zamora,Zamora,196165.0,128.97305839471872
zamora,2011,234,Zamora,Zamora,192726.0,121.41589614271038
zamora,2016,184,Zamora,Zamora,181057.0,101.62545496722026
zamora,2019,12506,Zamora,Zamora,173318.0,7215.638306465572
zamora,2023,12575,Zamora,Zamora,166927.0,7533.233089913555
zaragoza,2000,658,Zaragoza,,,
zaragoza,2004,1463,Zaragoza,Zaragoza,887658.0,164.81572858015136
zaragoza,2008,1351,Zaragoza,Zaragoza,955315.0,141.41932242244704
zaragoza,2011,0,Zaragoza,Zaragoza,973443.0,0.0
zaragoza,2016,1614,Zaragoza,Zaragoza,960170.0,168.09523313579888
zaragoza,2019,70663,Zaragoza,Zaragoza,965673.0,7317.48738962361
zaragoza,2023,79648,Zaragoza,Zaragoza,979365.0,8132.616542351421
