Provincia;Any - Trimestre;Percentatge
Bizkaia;2010T4;12,91
Bizkaia;2010T3;11,36
Bizkaia;2010T2;12,34
Bizkaia;2010T1;11,83
Bizkaia;2009T4;13,26
Bizkaia;2009T3;13,06
Bizkaia;2009T2;12,03
Bizkaia;2009T1;11,69
Bizkaia;2008T4;9,77
Bizkaia;2008T3;8,1
Bizkaia;2008T2;6,78
Bizkaia;2008T1;7,02
Bizkaia;2007T4;6,64
Bizkaia;2007T3;7,64
Bizkaia;2007T2;7,37
Bizkaia;2007T1;7
Bizkaia;2006T4;7,42
Bizkaia;2006T3;7,51
Bizkaia;2006T2;8,21
Bizkaia;2006T1;8,8
Bizkaia;2005T4;7,12
Bizkaia;2005T3;8,02
Bizkaia;2005T2;9,7
Bizkaia;2005T1;9,31
Bizkaia;2004T4;10,73
Bizkaia;2004T3;11,62
Bizkaia;2004T2;11,67
Bizkaia;2004T1;13,16
Bizkaia;2003T4;11,74
Bizkaia;2003T3;11,07
Bizkaia;2003T2;11,64
Bizkaia;2003T1;11,33
Bizkaia;2002T4;11,37
Bizkaia;2002T3;11,47
Bizkaia;2002T2;10,89
Bizkaia;2002T1;11,48
Burgos;2024T4;6,35
Burgos;2024T3;6,47
Burgos;2024T2;6,65
Burgos;2024T1;8,24
Burgos;2023T4;8,18
Burgos;2023T3;6,82
Burgos;2023T2;7,85
Burgos;2023T1;8,02
Burgos;2022T4;7,22
Burgos;2022T3;6,09
Burgos;2022T2;11,08
Burgos;2022T1;9,83
Burgos;2021T4;9,65
Burgos;2021T3;8,86
Burgos;2021T2;10,21
Burgos;2021T1;9,8
Burgos;2020T4;9,4
Burgos;2020T3;11,68
Burgos;2020T2;13,67
Burgos;2020T1;9,76
Burgos;2019T4;9,34
Burgos;2019T3;9,81
Burgos;2019T2;9,34
Burgos;2019T1;11,35
Burgos;2018T4;10,96
Burgos;2018T3;10,14
Burgos;2018T2;8,92
Burgos;2018T1;11,54
Burgos;2017T4;11,08
Burgos;2017T3;10,25
Burgos;2017T2;10,66
Burgos;2017T1;10,22
Burgos;2016T4;10,47
Burgos;2016T3;8,74
Burgos;2016T2;12,34
Burgos;2016T1;15,38
Burgos;2015T4;17,72
Burgos;2015T3;16,12
Burgos;2015T2;18,74
Burgos;2015T1;18,96
Burgos;2014T4;18,76
Burgos;2014T3;18,08
Burgos;2014T2;17,95
Burgos;2014T1;18,11
Burgos;2013T4;19,08
Burgos;2013T3;19,06
